city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Rafaela,-31.2667,-61.4833,Argentina,AR,Santa Fe,minor,92945,92945
San Francisco Solano,-34.7667,-58.3167,Argentina,AR,Buenos Aires,,91322,91322
Necochea,-38.5500,-58.7333,Argentina,AR,Buenos Aires,minor,90000,90000
Presidencia Roque Sáenz Peña,-26.7833,-60.4500,Argentina,AR,Chaco,minor,89882,89882
Olavarría,-36.9000,-60.3333,Argentina,AR,Buenos Aires,minor,89721,89721
Villa María,-32.4103,-63.2314,Argentina,AR,Córdoba,minor,88600,88600
Berisso,-34.8728,-57.8858,Argentina,AR,Buenos Aires,minor,88470,88470
Chimbas,-31.5000,-68.5319,Argentina,AR,San Juan,minor,87258,87258
Campana,-34.1667,-58.9167,Argentina,AR,Buenos Aires,minor,86860,86860
Junín,-34.5833,-60.9500,Argentina,AR,Buenos Aires,minor,85420,85420
General Rodríguez,-34.6167,-58.9500,Argentina,AR,Buenos Aires,minor,85315,85315
Grand Bourg,-34.4833,-58.7167,Argentina,AR,Buenos Aires,,85189,85189
Monte Chingolo,-34.7333,-58.3500,Argentina,AR,Buenos Aires,,85060,85060
Rivadavia,-31.5303,-68.5947,Argentina,AR,San Juan,minor,82582,82582
Rivadavia,-33.1833,-68.4667,Argentina,AR,Mendoza,minor,82582,82582
Puerto Iguazú,-25.6000,-54.5667,Argentina,AR,Misiones,,82227,82227
Remedios de Escalada,-34.7167,-58.4000,Argentina,AR,Buenos Aires,,81465,81465
Gobernador Gálvez,-33.0256,-60.6336,Argentina,AR,Santa Fe,,80769,80769
Ezpeleta,-34.7517,-58.2344,Argentina,AR,Buenos Aires,,79557,79557
San Martín,-33.0806,-68.4706,Argentina,AR,Mendoza,minor,79476,79476
Villa Celina,-34.7167,-58.4833,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",,78699,78699
San Ramón de la Nueva Orán,-23.1333,-64.3333,Argentina,AR,Salta,minor,76070,76070
San Pedro,-33.6792,-59.6669,Argentina,AR,Buenos Aires,minor,75616,75616
Villa Carlos Paz,-31.4000,-64.5167,Argentina,AR,Córdoba,,75315,75315
Reconquista,-29.2333,-59.9333,Argentina,AR,Santa Fe,minor,73293,73293
Ciudadela,-34.6333,-58.5333,Argentina,AR,Buenos Aires,,73155,73155
Luján de Cuyo,-32.9980,-68.8730,Argentina,AR,Mendoza,minor,73058,73058
Goya,-29.1333,-59.2500,Argentina,AR,Corrientes,minor,72304,72304
Bella Vista,-34.5333,-58.6667,Argentina,AR,Buenos Aires,,72000,72000
Lomas del Mirador,-34.6667,-58.5297,Argentina,AR,Buenos Aires,,71479,71479
Oberá,-27.4833,-55.1333,Argentina,AR,Misiones,minor,66112,66112
Wilde,-34.7000,-58.3167,Argentina,AR,Buenos Aires,,65881,65881
Martínez,-34.4833,-58.5000,Argentina,AR,Buenos Aires,,65859,65859
Santo Tomé,-31.6667,-60.7667,Argentina,AR,Santa Fe,,65684,65684
Don Torcuato,-34.5000,-58.6167,Argentina,AR,Buenos Aires,,64867,64867
Gerli,-34.6833,-58.3667,Argentina,AR,Buenos Aires,,64640,64640
Pirané,-25.7328,-59.1100,Argentina,AR,Formosa,minor,64556,64556
Mercedes,-34.6500,-59.4333,Argentina,AR,Buenos Aires,minor,63284,63284
Banda del Río Salí,-26.8500,-65.1667,Argentina,AR,Tucumán,minor,63226,63226
Tartagal,-22.5000,-63.8333,Argentina,AR,Salta,minor,63196,63196
Villa Domínico,-34.6917,-58.3333,Argentina,AR,Buenos Aires,,62315,62315
San Francisco,-31.4356,-62.0714,Argentina,AR,Córdoba,minor,62001,62001
Viedma,-40.8000,-63.0000,Argentina,AR,Río Negro,admin,62000,62000
Los Polvorines,-34.5000,-58.7000,Argentina,AR,Buenos Aires,minor,60867,60867
Sarandí,-34.6833,-58.3333,Argentina,AR,Buenos Aires,,60752,60752
Hurlingham,-34.6000,-58.6333,Argentina,AR,Buenos Aires,minor,60000,60000
Garín,-34.4167,-58.7500,Argentina,AR,Buenos Aires,,59335,59335
El Palomar,-34.6167,-58.5833,Argentina,AR,Buenos Aires,,59031,59031
Beccar,-34.4667,-58.5167,Argentina,AR,Buenos Aires,,58811,58811
San Pedro,-24.2196,-64.8700,Argentina,AR,Jujuy,minor,58430,58430
Punta Alta,-38.8800,-62.0750,Argentina,AR,Buenos Aires,minor,58315,58315
Chivilcoy,-34.9000,-60.0167,Argentina,AR,Buenos Aires,minor,58152,58152
Glew,-34.8833,-58.3833,Argentina,AR,Buenos Aires,,57878,57878
General Pico,-35.6667,-63.7333,Argentina,AR,La Pampa,minor,57669,57669
Cosquín,-31.2436,-64.4653,Argentina,AR,Córdoba,minor,57458,57458
Eldorado,-26.4000,-54.6333,Argentina,AR,Misiones,minor,57323,57323
Tres Arroyos,-38.3667,-60.2667,Argentina,AR,Buenos Aires,minor,57244,57244
Ushuaia,-54.8019,-68.3031,Argentina,AR,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",admin,56956,56956
Rafael Calzada,-34.7833,-58.3667,Argentina,AR,Buenos Aires,,56419,56419
Azul,-36.7833,-59.8500,Argentina,AR,Buenos Aires,minor,55728,55728
Barranqueras,-27.4833,-58.9333,Argentina,AR,Chaco,,54698,54698
Belén de Escobar,-34.3333,-58.8167,Argentina,AR,Buenos Aires,minor,54678,54678
Ensenada,-34.8644,-57.9103,Argentina,AR,Buenos Aires,minor,54463,54463
Mariano Acosta,-34.7167,-58.7833,Argentina,AR,Buenos Aires,,54081,54081
Clorinda,-25.2833,-57.7167,Argentina,AR,Formosa,minor,52837,52837
Guernica,-34.9167,-58.3833,Argentina,AR,Buenos Aires,minor,52529,52529
Ensenada Berisso,-34.8667,-57.9000,Argentina,AR,Buenos Aires,,51448,51448
El Talar de Pacheco,-34.4719,-58.6550,Argentina,AR,Buenos Aires,,50426,50426
Palpalá,-24.2500,-65.1167,Argentina,AR,Jujuy,minor,50183,50183
Yerba Buena,-26.8167,-65.3167,Argentina,AR,Tucumán,minor,50057,50057
Concepción,-27.3333,-65.5833,Argentina,AR,Tucumán,minor,49782,49782
Villaguay,-31.8500,-59.0167,Argentina,AR,Entre Ríos,minor,49445,49445
Tunuyán,-33.5667,-69.0167,Argentina,AR,Mendoza,minor,49132,49132
Florida,-34.5167,-58.5000,Argentina,AR,Buenos Aires,,48158,48158
Alta Gracia,-31.6667,-64.4333,Argentina,AR,Córdoba,minor,48140,48140
La Reja,-34.6394,-58.8283,Argentina,AR,Buenos Aires,,47839,47839
San Lorenzo,-28.1200,-58.7700,Argentina,AR,Corrientes,,47626,47626
Longchamps,-34.8500,-58.3833,Argentina,AR,Buenos Aires,,47622,47622
Catriel,-37.8667,-67.8333,Argentina,AR,Río Negro,,47569,47569
Villa Constitución,-33.2333,-60.3333,Argentina,AR,Santa Fe,minor,47374,47374
General Martín Miguel de Güemes,-24.6667,-65.0500,Argentina,AR,Salta,minor,47348,47348
Libertador General San Martín,-23.8000,-64.7833,Argentina,AR,Jujuy,minor,46642,46642
Río Tercero,-32.1833,-64.1000,Argentina,AR,Córdoba,,46421,46421
San Lorenzo,-32.7500,-60.7333,Argentina,AR,Santa Fe,,46239,46239
Trenque Lauquen,-35.9667,-62.7000,Argentina,AR,Buenos Aires,minor,46019,46019
Chajarí,-30.7667,-57.9833,Argentina,AR,Entre Ríos,,45848,45848
Balcarce,-37.8456,-58.2578,Argentina,AR,Buenos Aires,minor,44796,44796
San Vicente,-35.0167,-58.4167,Argentina,AR,Buenos Aires,minor,44529,44529
San Isidro,-34.4667,-58.5167,Argentina,AR,Buenos Aires,minor,43595,43595
General Pacheco,-34.4500,-58.6500,Argentina,AR,Buenos Aires,,43287,43287
Paso de los Libres,-29.7167,-57.0833,Argentina,AR,Corrientes,minor,43251,43251
Dock Sur,-34.6417,-58.3478,Argentina,AR,Buenos Aires,,43168,43168
Gualeguay,-33.1500,-59.3333,Argentina,AR,Entre Ríos,minor,43009,43009
Coronel Suárez,-37.4667,-61.9333,Argentina,AR,Buenos Aires,minor,42276,42276
Esperanza,-31.4167,-60.9333,Argentina,AR,Santa Fe,minor,42082,42082
Tolosa,-34.8942,-57.9647,Argentina,AR,Buenos Aires,,41705,41705
Llavallol,-34.7667,-58.3833,Argentina,AR,Buenos Aires,,41463,41463
Villa Ángela,-27.5833,-60.7167,Argentina,AR,Chaco,minor,41403,41403
Tortuguitas,-34.4750,-58.7556,Argentina,AR,Buenos Aires,,41390,41390
Claypole,-34.8000,-58.3333,Argentina,AR,Buenos Aires,,41176,41176
Villa Alsina,-34.6667,-58.4167,Argentina,AR,Buenos Aires,,41155,41155
José Mármol,-34.7833,-58.3667,Argentina,AR,Buenos Aires,,41109,41109
Apóstoles,-27.9167,-55.7667,Argentina,AR,Misiones,minor,40858,40858
Pinamar,-37.1000,-56.8500,Argentina,AR,Buenos Aires,minor,40259,40259
Tafí Viejo,-26.7333,-65.2667,Argentina,AR,Tucumán,minor,39601,39601
Virreyes,-34.4500,-58.5333,Argentina,AR,Buenos Aires,,39507,39507
Marcos Paz,-34.7667,-58.8333,Argentina,AR,Buenos Aires,minor,39151,39151
Ingeniero Pablo Nogués,-34.4667,-58.7667,Argentina,AR,Buenos Aires,,38470,38470
Chacabuco,-34.6333,-60.4667,Argentina,AR,Buenos Aires,minor,38418,38418
Aristóbulo del Valle,-27.1167,-54.9167,Argentina,AR,Misiones,,38000,38000
San Antonio de Padua,-34.6667,-58.7000,Argentina,AR,Buenos Aires,,37775,37775
Haedo,-34.6500,-58.6000,Argentina,AR,Buenos Aires,,37745,37745
Granadero Baigorria,-32.8500,-60.7000,Argentina,AR,Santa Fe,,36994,36994
Nueve de Julio,-35.4500,-60.8833,Argentina,AR,Buenos Aires,minor,36494,36494
Munro,-34.5333,-58.5167,Argentina,AR,Buenos Aires,,35844,35844
Cutral-Có,-38.9333,-69.2333,Argentina,AR,Neuquén,,35465,35465
Villa Adelina,-34.5167,-58.5333,Argentina,AR,Buenos Aires,,35307,35307
Villa Ballester,-34.5167,-58.5333,Argentina,AR,Buenos Aires,,35301,35301
Casilda,-33.0500,-61.1667,Argentina,AR,Santa Fe,minor,35058,35058
Centenario,-38.8000,-68.1333,Argentina,AR,Neuquén,,34421,34421
Bell Ville,-32.6333,-62.6833,Argentina,AR,Córdoba,minor,33835,33835
Chilecito,-29.1667,-67.5000,Argentina,AR,La Rioja,minor,33724,33724
Chascomús,-35.5750,-58.0089,Argentina,AR,Buenos Aires,minor,33607,33607
Bragado,-35.1167,-60.5000,Argentina,AR,Buenos Aires,minor,33222,33222
City Bell,-34.8500,-58.0500,Argentina,AR,Buenos Aires,,32646,32646
Plottier,-38.9500,-68.2333,Argentina,AR,Neuquén,,32390,32390
La Calera,-31.3439,-64.3353,Argentina,AR,Córdoba,,32227,32227
Termas de Río Hondo,-27.4833,-64.8667,Argentina,AR,Santiago del Estero,minor,32116,32116
Aguilares,-27.4333,-65.6167,Argentina,AR,Tucumán,minor,32097,32097
Zapala,-38.9000,-70.0667,Argentina,AR,Neuquén,minor,32097,32097
Quitilipi,-26.8667,-60.2167,Argentina,AR,Chaco,minor,32083,32083
Fontana,-27.4167,-59.0333,Argentina,AR,Chaco,,32027,32027
Cañuelas,-35.0333,-58.7333,Argentina,AR,Buenos Aires,minor,31901,31901
Avellaneda,-34.6625,-58.3678,Argentina,AR,Buenos Aires,minor,31892,31892
General José de San Martín,-26.5375,-59.3417,Argentina,AR,Chaco,minor,31758,31758
Jesús María,-30.9833,-64.1000,Argentina,AR,Córdoba,minor,31602,31602
Pehuajó,-35.8000,-61.9000,Argentina,AR,Buenos Aires,minor,31553,31553
Lobos,-35.1833,-59.0833,Argentina,AR,Buenos Aires,minor,31190,31190
Pichanal,-23.3167,-64.2167,Argentina,AR,Salta,,30903,30903
Cruz del Eje,-30.7333,-64.8000,Argentina,AR,Córdoba,minor,30680,30680
Gobernador Virasora,-28.0500,-56.0333,Argentina,AR,Corrientes,minor,30666,30666
Miramar,-38.2667,-57.8333,Argentina,AR,Buenos Aires,minor,30100,30100
Villa Regina,-39.1000,-67.0667,Argentina,AR,Río Negro,,30028,30028
Villa Dolores,-31.9333,-65.2000,Argentina,AR,Córdoba,,29854,29854
Villa Gesell,-37.2500,-56.9833,Argentina,AR,Buenos Aires,minor,29593,29593
Capitán Bermúdez,-32.8167,-60.7167,Argentina,AR,Santa Fe,,29218,29218
Cañada de Gómez,-32.8167,-61.4000,Argentina,AR,Santa Fe,minor,29205,29205
Garupá,-27.4833,-55.8333,Argentina,AR,Misiones,,28814,28814
Bella Vista,-28.4667,-59.0500,Argentina,AR,Corrientes,minor,28750,28750
Baradero,-33.8000,-59.5167,Argentina,AR,Buenos Aires,minor,28537,28537
General San Martín,-34.5667,-58.5333,Argentina,AR,Buenos Aires,minor,28339,28339
Adrogue,-34.8000,-58.3833,Argentina,AR,Buenos Aires,,28265,28265
Lincoln,-34.8500,-61.5167,Argentina,AR,Buenos Aires,minor,28051,28051
San Martín de los Andes,-40.1667,-71.3500,Argentina,AR,Neuquén,minor,27956,27956
Marcos Juárez,-32.7000,-62.1000,Argentina,AR,Córdoba,minor,27004,27004
Arrecifes,-34.0667,-60.1167,Argentina,AR,Buenos Aires,minor,27000,27000
Las Flores,-36.0139,-59.1000,Argentina,AR,Buenos Aires,minor,26651,26651
Charata,-27.2167,-61.2000,Argentina,AR,Chaco,minor,26497,26497
Pérez,-33.0000,-60.7667,Argentina,AR,Santa Fe,,26448,26448
Muñiz,-34.5333,-58.7000,Argentina,AR,Buenos Aires,,26221,26221
Dolores,-36.3167,-57.6667,Argentina,AR,Buenos Aires,minor,25940,25940
Firmat,-33.4500,-61.4833,Argentina,AR,Santa Fe,,25757,25757
Jardín América,-27.0500,-55.2333,Argentina,AR,Misiones,,25705,25705
Mar de Ajó,-36.7203,-56.6878,Argentina,AR,Buenos Aires,,25520,25520
Leandro N. Alem,-27.6000,-55.3333,Argentina,AR,Misiones,minor,25404,25404
Candelaria,-27.4594,-55.7453,Argentina,AR,Misiones,,25140,25140
Tres Isletas,-26.3500,-60.4167,Argentina,AR,Chaco,minor,24747,24747
Rawson,-43.3000,-65.1000,Argentina,AR,Chubut,admin,24616,24616
La Paz,-30.7500,-59.6500,Argentina,AR,Entre Ríos,minor,24307,24307
Monte Caseros,-30.2500,-57.6500,Argentina,AR,Corrientes,minor,23470,23470
Veinticinco de Mayo,-35.4167,-60.1667,Argentina,AR,Buenos Aires,minor,23408,23408
Santo Tomé,-28.5500,-56.0500,Argentina,AR,Corrientes,minor,23299,23299
Monteros,-27.1667,-65.5000,Argentina,AR,Tucumán,minor,23274,23274
Colón,-33.8833,-61.1000,Argentina,AR,Buenos Aires,minor,23171,23171
Colón,-32.2167,-58.1333,Argentina,AR,Entre Ríos,minor,23150,23150
San Andrés de Giles,-34.4333,-59.4333,Argentina,AR,Buenos Aires,minor,23027,23027
Las Breñas,-27.0667,-61.0667,Argentina,AR,Chaco,minor,22953,22953
Famaillá,-27.0500,-65.4000,Argentina,AR,Tucumán,minor,22924,22924
Nogoyá,-32.4000,-59.8000,Argentina,AR,Entre Ríos,minor,22824,22824
San Martín,-31.4397,-68.5206,Argentina,AR,San Juan,minor,22046,22046
Machagai,-26.9167,-60.0333,Argentina,AR,Chaco,minor,21997,21997
San Justo,-30.7833,-60.5833,Argentina,AR,Santa Fe,minor,21624,21624
Rosario de Lerma,-24.9833,-65.5833,Argentina,AR,Salta,minor,21592,21592
San Antonio de Areco,-34.2500,-59.4667,Argentina,AR,Buenos Aires,minor,21333,21333
Carlos Casares,-35.6167,-61.3667,Argentina,AR,Buenos Aires,minor,21125,21125
San Isidro de Lules,-26.9333,-65.3500,Argentina,AR,Tucumán,minor,21088,21088
Brandsen,-35.1667,-58.2167,Argentina,AR,Buenos Aires,minor,19877,19877
Diamante,-32.0667,-60.6500,Argentina,AR,Entre Ríos,minor,19142,19142
Saladas,-28.2500,-58.6167,Argentina,AR,Corrientes,minor,18349,18349
Coronda,-31.9667,-60.9167,Argentina,AR,Santa Fe,minor,18115,18115
General Juan Madariaga,-37.0167,-57.1333,Argentina,AR,Buenos Aires,minor,18089,18089
Cerrillos,-24.9000,-65.4833,Argentina,AR,Salta,minor,17634,17634
Puerto Rico,-26.8000,-55.0167,Argentina,AR,Misiones,minor,17491,17491
La Quiaca,-22.1042,-65.5972,Argentina,AR,Jujuy,minor,16874,16874
Federación,-30.9833,-57.9167,Argentina,AR,Entre Ríos,minor,16658,16658
General Pinedo,-27.3167,-61.2833,Argentina,AR,Chaco,minor,15741,15741
Villa del Rosario,-31.5833,-63.5333,Argentina,AR,Córdoba,minor,15394,15394
San Luis del Palmar,-27.5167,-58.5667,Argentina,AR,Corrientes,minor,15347,15347
Bella Vista,-27.0333,-65.3000,Argentina,AR,Tucumán,minor,15126,15126
Carmen de Areco,-34.3858,-59.8294,Argentina,AR,Buenos Aires,minor,14692,14692
Las Rosas,-32.4833,-61.5833,Argentina,AR,Santa Fe,minor,13689,13689
General Belgrano,-35.7667,-58.5000,Argentina,AR,Buenos Aires,minor,13516,13516
General Viamonte,-35.0000,-61.0333,Argentina,AR,Buenos Aires,minor,13462,13462
Empedrado,-27.9333,-58.7833,Argentina,AR,Corrientes,minor,13245,13245
Rosario del Tala,-32.3000,-59.1333,Argentina,AR,Entre Ríos,minor,12801,12801
General Las Heras,-34.9333,-58.9500,Argentina,AR,Buenos Aires,minor,12799,12799
San Salvador,-31.6167,-58.5000,Argentina,AR,Entre Ríos,minor,12733,12733
Junín de los Andes,-39.9167,-71.0667,Argentina,AR,Neuquén,minor,12621,12621
La Carlota,-33.4333,-63.3000,Argentina,AR,Córdoba,minor,12537,12537
Villa Berthet,-27.2667,-60.4167,Argentina,AR,Chaco,minor,12029,12029
Cafayate,-26.0833,-65.9667,Argentina,AR,Salta,minor,11785,11785
Oliva,-32.0333,-63.5667,Argentina,AR,Córdoba,minor,11672,11672
Santa Lucía,-28.9833,-59.1000,Argentina,AR,Corrientes,minor,11589,11589
Navarro,-35.0167,-59.2667,Argentina,AR,Buenos Aires,minor,11562,11562
Ramallo,-33.3167,-60.2000,Argentina,AR,Buenos Aires,minor,11428,11428
Capitán Sarmiento,-34.1667,-59.7833,Argentina,AR,Buenos Aires,minor,11316,11316
San Bernardo,-27.2667,-60.7000,Argentina,AR,Chaco,minor,11101,11101
Roque Pérez,-35.4167,-59.3167,Argentina,AR,Buenos Aires,minor,10902,10902
Bernardo de Irigoyen,-26.2500,-53.9833,Argentina,AR,Misiones,minor,10889,10889
San Roque,-28.5667,-58.7167,Argentina,AR,Corrientes,minor,10885,10885
Santa Rosa de Río Primero,-31.1500,-63.3833,Argentina,AR,Córdoba,minor,10873,10873
Campo Largo,-26.8000,-60.8333,Argentina,AR,Chaco,minor,10743,10743
Corzuela,-26.9333,-60.9667,Argentina,AR,Chaco,minor,10470,10470
Ranchos,-35.5333,-58.2833,Argentina,AR,Buenos Aires,minor,10319,10319
La Leonesa,-27.0500,-58.7167,Argentina,AR,Chaco,minor,10067,10067
Puerto Tirol,-27.3667,-59.0667,Argentina,AR,Chaco,minor,9763,9763
Magdalena,-35.0833,-57.5167,Argentina,AR,Buenos Aires,minor,9294,9294
Capilla del Señor,-34.2833,-59.1000,Argentina,AR,Buenos Aires,minor,9244,9244
Mburucuyá,-28.0500,-58.2333,Argentina,AR,Corrientes,minor,9012,9012
Villa Aberastain,-31.6500,-68.5833,Argentina,AR,San Juan,minor,8946,8946
Simoca,-27.2667,-65.3333,Argentina,AR,Tucumán,minor,8351,8351
Alberti,-35.0167,-60.2667,Argentina,AR,Buenos Aires,minor,8260,8260
Villa Media Agua,-31.9833,-68.4333,Argentina,AR,San Juan,minor,7983,7983
Itatí,-27.2667,-58.2500,Argentina,AR,Corrientes,minor,7902,7902
San Ignacio,-27.2583,-55.5392,Argentina,AR,Misiones,minor,7772,7772
Nueve de Julio,-31.6500,-68.4000,Argentina,AR,San Juan,minor,7652,7652
Realicó,-35.0389,-64.2472,Argentina,AR,La Pampa,minor,7591,7591
Villa del Totoral,-30.8167,-63.7167,Argentina,AR,Córdoba,minor,7110,7110
Mar del Tuyú,-36.5333,-56.6667,Argentina,AR,Buenos Aires,minor,6916,6916
Villa Cura Brochero,-31.6667,-65.0167,Argentina,AR,Córdoba,minor,6351,6351
Coronel Vidal,-37.4500,-57.7167,Argentina,AR,Buenos Aires,minor,6320,6320
Tilcara,-23.5667,-65.3667,Argentina,AR,Jujuy,minor,6249,6249
Junín,-33.1333,-68.4667,Argentina,AR,Mendoza,minor,6084,6084
Margarita Belén,-27.2667,-58.9667,Argentina,AR,Chaco,minor,5547,5547
Sastre,-31.7500,-61.8333,Argentina,AR,Santa Fe,minor,5534,5534
Macachín,-37.1500,-63.6500,Argentina,AR,La Pampa,minor,5465,5465
Colonia Elisa,-26.9167,-59.5167,Argentina,AR,Chaco,minor,4570,4570
San Isidro,-28.4333,-65.7167,Argentina,AR,Catamarca,minor,4569,4569
San Cosme,-27.5167,-58.5667,Argentina,AR,Corrientes,minor,4429,4429
General Arenales,-34.2833,-61.2833,Argentina,AR,Buenos Aires,minor,3973,3973
Makallé,-27.2000,-59.2833,Argentina,AR,Chaco,minor,3812,3812
San Agustín,-31.9833,-64.3833,Argentina,AR,Córdoba,minor,3317,3317
Melincué,-33.6500,-61.4500,Argentina,AR,Santa Fe,minor,2139,2139
